"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Canada","CAN","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","6935104204.23144","7178117325.11185","7403822268.40182","8059572362.3824","9358848109.88486","9955964208.68471","11636631699.6043","13092680457.6524","14963426052.063","16486673051.2259","19207896864.0529","20817575551.6018","23965946774.1063","29733000547.1104","38440249585.9131","38092728387.6897","44713483712.2795","47885251903.2735","53410993784.8041","63795054481.521","74976797707.6052","80973478178.0381","79104531786.7954","85022649589.646","99410584680.3083","100630214641.853","102041841834.334","112337674244.392","132392897866.361","141581540450.408","148951657623.015","148573324585.608","154999074316.98","168101231552.461","189390935319.148","218167034827.329","233274147673.983","248953304978.076","252994299298.288","283244373066.11","328291427565.674","309767379617.507","303539446398.313","329134918900.379","381825717830.88","430736537026.448","464879428259.544","501610781832.467","535750740804.096","391705508316.173","469263407684.476","546624482077.656","551179609953.781","555776591187.852","567620356154.032","492111595592.33","475842118558.73","510776817492.729","",
"Central Europe and the Baltics","CEB","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82142108548.429","95444954694.0072","128465611880.429","135347718017.055","140974120255.217","154782843329.893","148346133576.391","168380604223.02","186137981611.727","205190346593.332","262939535895.434","358675973108.676","418431632243.651","507389575639.011","643823199660.749","771719953423.007","606843538525.621","688031060476.116","826183363896.379","802116080534.371","863095822867.023","909799693405.519","804434721883.693","836369794195.763","948808676360.155","",
"Switzerland","CHE","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","25280872269.1219","34272938443.1823","39784054864.4729","48595288834.5156","46920063888.0449","43052232463.2031","42396852700.3643","45048197993.7116","46120567736.6841","60829388063.263","70821881828.2915","79277660083.3732","81700444702.5383","97032927612.0435","94173420347.6308","101111041315.301","97026382575.5437","105376537489.238","123319579157.455","121950065128.923","120463029154.645","120631324733.15","121554620876.341","140635883090.422","140208635251.688","147290092617.476","169650490044.268","203293447627.962","219046491260.352","242418884536.205","291327678221.901","347870072595.367","308790997825.525","372127504216.421","453551372130.042","441763613737.958","487795899038.962","450328730887.369","417172683170.051","435778884022.608","437677188940.137","",
"Channel Islands","CHI","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","1838000000","2413000000","2603000000","2941000000","4620000000","5968000000","5008000000","4642000000","4628000000","4314000000","4496620000","5232260000","6348000000","8144000000","9612650000","10220800000","11068200000","12367400000","11713400000","14444000000","19357900000","20214723966.8928","21762015598.1874","20274816280.1911","21031264413.6656","23293153568.7677","22410169061.2974","22565348603.4456","26728130243.0111","39052608176.4216","48965742072.4972","67117042788.2984","77583639412.993","75124029616.6046","63904282434.2356","81955505335.345","94349665630.582","90332359682.6782","88886685222.7328","85745722947.3996","71554937538.6425","70185880432.102","79327572807.9482","",
"China","CHN","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","23637000000","23186000000","26716000000","28163000000","29583000000","39171000000","45912000000","47823000000","57374000000","65898000000","78817000000","86852000000","119181000000","147239990000","171678000000","140533000000","141364000000","149884000000","190039384000","208572000000","247626456545.448","445976206260.613","604774713079.717","773339005396.985","991731387760.491","1257052625429.69","1495317001221.66","1249723531706.78","1603944171443.28","2008852448487.47","2175092012376.37","2355594737798.11","2462902030661.11","2360152452309.1","2197922469129.56","2422911001954.39","",
"Cote d'Ivoire","CIV","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8523437976.35519","9315355005.71091","9594528686.20086","11406633906.621","12339750810.1319","12593261961.1995","13651787775.5227","13108218162.4722","12984343518.181","13870429496.4715","12496385721.0947","11788864283.2535","","",
"Cameroon","CMR","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","970857637.167183","1302292790.86889","1705609230.5891","2058457568.91313","1800122861.77805","1785206444.43539","1807455755.39953","2003608294.70616","2125013809.81374","2544137974.42342","2100043984.52152","2300131263.88865","2329531868.58444","2507522199.72845","2363430242.86527","2341515673.1055","1898661895.75366","1784999312.42401","2040294924.623","2497657961.11915","2494957537.56682","2407291343.50271","2177775199.55484","2666729592.24353","2822720607.50338","2984487813.74064","3128038744.35775","3816998831.84757","4235154350.69152","4865175212.2322","6326013214.66812","7325271330.03874","5313155102.38371","5607766722.51495","7510999188.45039","7385311641.34629","8025633210.00237","8590678690.82083","6732950065.04179","6246541476.00487","6544574569.34671","",
"Congo, Dem. Rep.","COD","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2746000000","3137600000","6540300000","7698000000","5020900000","8866500000","10211300000","9031062349.92914","11909060432.7446","12635997429.5669","10458122394.6932","10107715762.7953","13388350971.479","",
"Congo, Rep.","COG","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","376967830.180904","565405558.127647","1021229903.5583","1156719242.65663","1186106462.66987","1153928606.67221","1348676072.80285","1219439494.17366","775756339.243945","973851559.561728","935469754.039276","1255766701.50298","1487889796.70723","1206989227.72839","1244843999.94879","1175296540.19831","1025927922.5427","1374020159.9586","1746722226.54478","1761180299.4823","1485421415.40755","1706117396.38556","2628296850.89709","2199123217.20101","2453603936.39146","2830693584.90488","3629860193.25968","4965797528.35334","6331731924.44604","5861115566.64612","8276155659.1357","6244442199.46775","9001562369.77435","11509118450.7998","10276991429.1245","9503628540.43745","9508523099.38986","5078447038.851","4596398727.6041","","",
